#chan	code	gain	vt50	innse	comment
   0	     4	67.7	74.7	4625	inefficient
   1	     4	68.0	71.8	4424	inefficient
   2	     4	70.4	76.1	4146	inefficient
   3	     4	71.5	76.8	4043	inefficient
   4	     4	79.2	161.3	2574	inefficient
   5	     4	60.2	57.4	4574	inefficient
   6	     4	63.0	65.3	4273	inefficient
   7	     4	77.8	86.3	3574	inefficient
   8	     4	67.4	69.1	4100	inefficient
   9	     4	67.6	65.4	4144	inefficient
  10	     4	63.3	65.2	4226	inefficient
  11	     4	72.1	76.2	3833	inefficient
  12	     4	64.1	63.7	4244	inefficient
  13	     4	74.0	76.8	3883	inefficient
  14	     4	65.8	66.6	4085	inefficient
  15	     4	74.1	84.3	3695	inefficient
  16	     4	76.4	87.2	3605	inefficient
  17	     4	75.8	83.0	3691	inefficient
  18	     4	70.4	78.3	3910	inefficient
  19	     4	75.5	81.5	3755	inefficient
  20	     4	64.6	68.5	4206	inefficient
  21	     4	70.9	76.6	3914	inefficient
  22	     4	57.6	57.7	4444	inefficient
  23	     4	76.6	88.0	3576	inefficient
  24	     4	81.1	142.0	2720	inefficient
  25	     4	77.5	86.0	3708	inefficient
  26	     4	70.8	75.2	3909	inefficient
  27	     4	61.6	60.3	4383	inefficient
  28	     4	72.9	82.4	3793	inefficient
  29	     4	72.3	81.3	3781	inefficient
  30	     4	73.1	81.1	3790	inefficient
  31	     4	74.9	80.9	3779	inefficient
  32	     4	73.6	79.6	3840	inefficient
  33	     4	61.3	56.5	4531	inefficient
  34	     4	66.2	67.1	4122	inefficient
  35	     4	74.2	82.2	3721	inefficient
  36	     4	67.2	68.3	4106	inefficient
  37	     4	74.1	84.0	3691	inefficient
  38	     4	73.6	81.3	3825	inefficient
  39	     4	63.0	63.3	4255	inefficient
  40	     4	70.9	74.3	3946	inefficient
  41	     4	72.1	81.1	3754	inefficient
  42	     4	65.0	65.2	4197	inefficient
  43	     4	74.9	82.2	3747	inefficient
  44	     4	68.3	67.1	4064	inefficient
  45	     4	82.9	107.7	3316	inefficient
  46	     4	69.5	72.6	4017	inefficient
  47	     4	66.1	67.5	4189	inefficient
  48	     4	67.9	70.4	4065	inefficient
  49	     4	72.1	80.4	3826	inefficient
  50	     4	58.2	57.2	4517	inefficient
  51	     4	68.7	73.8	3978	inefficient
  52	     4	73.2	78.5	3839	inefficient
  53	     4	71.6	76.9	3893	inefficient
  54	     4	71.6	79.2	3903	inefficient
  55	     4	71.9	73.6	3944	inefficient
  56	     4	71.4	77.4	3902	inefficient
  57	     4	69.4	71.3	4036	inefficient
  58	     4	72.6	81.1	3823	inefficient
  59	     4	72.9	79.1	3830	inefficient
  60	     4	62.5	61.7	4386	inefficient
  61	     4	76.9	93.4	3549	inefficient
  62	     4	62.3	61.5	4326	inefficient
  63	     4	67.4	70.5	4054	inefficient
  64	     4	69.5	73.6	4042	inefficient
