#chan	code	gain	vt50	innse	comment
   0	     4	70.4	98.0	4488	inefficient
   1	     4	72.6	167.1	3157	inefficient
   2	     4	72.2	118.8	4196	inefficient
   3	     4	70.9	185.1	3015	inefficient
   4	     4	68.6	103.2	4334	inefficient
   5	     4	69.6	116.1	4194	inefficient
   6	     4	66.9	108.9	4284	inefficient
   7	     4	70.0	106.7	4304	inefficient
   8	     4	70.3	123.4	4062	inefficient
   9	     4	70.2	100.1	4359	inefficient
  10	     4	70.5	133.7	3857	inefficient
  11	     4	66.6	86.8	4487	inefficient
  12	     4	70.3	115.5	4160	inefficient
  13	     4	73.0	153.6	3294	inefficient
  14	     4	68.6	98.1	4334	inefficient
  15	     4	71.2	112.5	4259	inefficient
  16	     4	72.0	119.2	4127	inefficient
  17	     4	71.2	121.5	4112	inefficient
  18	     4	70.4	109.4	4240	inefficient
  19	     4	71.3	194.0	3058	inefficient
  20	     4	71.7	117.1	4133	inefficient
  21	     4	67.6	92.7	4440	inefficient
  22	     4	71.1	115.9	4145	inefficient
  23	     4	69.7	113.1	4232	inefficient
  24	     4	68.9	110.8	4220	inefficient
  25	     4	74.0	117.1	4155	inefficient
  26	     4	70.3	117.6	4196	inefficient
  27	     4	67.6	89.5	4424	inefficient
  28	     4	70.4	107.3	4251	inefficient
  29	     4	70.2	113.8	4117	inefficient
  30	 80000	70.4	199.2	3061	very high noise
  31	     4	70.8	107.3	4346	inefficient
  32	     4	66.7	92.0	4424	inefficient
  33	     4	72.6	118.3	4136	inefficient
  34	     4	71.3	111.2	4211	inefficient
  35	     4	69.4	112.5	4249	inefficient
  36	     4	72.0	124.2	4055	inefficient
  37	     4	70.6	117.8	4165	inefficient
  38	     4	70.2	127.2	3963	inefficient
  39	     4	71.3	190.5	2984	inefficient
  40	     4	73.7	168.7	3085	inefficient
  41	     4	72.0	113.8	4196	inefficient
  42	 80000	71.0	199.1	3111	very high noise
  43	     4	71.3	109.8	4267	inefficient
  44	     4	66.5	92.6	4396	inefficient
  45	     4	69.6	111.8	4178	inefficient
  46	     4	69.6	103.1	4292	inefficient
  47	     4	72.8	152.4	3321	inefficient
  48	     4	67.9	100.3	4374	inefficient
  49	     4	71.2	112.3	4182	inefficient
  50	     4	69.0	110.2	4231	inefficient
  51	     4	74.4	181.4	3008	inefficient
  52	     4	70.2	109.3	4278	inefficient
  53	     4	71.4	111.1	4246	inefficient
  54	     4	67.3	98.1	4346	inefficient
  55	     4	74.1	121.0	4089	inefficient
  56	     4	70.5	106.7	4320	inefficient
  57	     4	74.0	178.5	3042	inefficient
  58	     4	69.5	114.9	4185	inefficient
  59	     4	70.4	104.3	4355	inefficient
  60	     4	72.4	123.9	4015	inefficient
  61	     4	69.3	116.0	4213	inefficient
  62	     4	72.1	117.3	4127	inefficient
  63	     4	71.0	107.0	4221	inefficient
  64	     4	71.0	122.4	3996	inefficient
  65	     4	71.8	110.8	4180	inefficient
  66	     4	71.1	108.5	4202	inefficient
  67	     4	68.1	107.5	4241	inefficient
  68	     4	71.8	118.8	4097	inefficient
  69	     4	72.4	122.8	4039	inefficient
  70	     4	68.3	109.7	4186	inefficient
  71	     4	71.3	107.3	4231	inefficient
  72	     4	71.9	122.5	4035	inefficient
  73	     4	72.3	120.0	4073	inefficient
  74	     4	70.4	151.3	3245	inefficient
  75	     4	67.0	90.9	4354	inefficient
  76	     4	70.7	112.8	4144	inefficient
  77	     4	73.8	120.0	4077	inefficient
  78	     4	72.9	155.3	3226	inefficient
  79	     4	66.9	94.6	4337	inefficient
  80	     4	70.8	110.6	4196	inefficient
  81	     4	74.9	123.8	4022	inefficient
  82	     4	68.5	93.6	4296	inefficient
  83	 80000	71.2	189.1	2958	very high noise
  84	     4	72.1	113.4	4114	inefficient
  85	 80000	70.7	209.1	3068	very high noise
  86	     4	66.5	93.0	4304	inefficient
  87	     4	69.4	109.6	4175	inefficient
  88	     4	70.2	93.3	4313	inefficient
  89	     4	72.6	125.2	4019	inefficient
  90	     4	68.8	89.8	4357	inefficient
  91	     4	71.0	107.9	4247	inefficient
  92	     4	72.6	149.9	3313	inefficient
  93	     4	72.4	117.2	4106	inefficient
  94	 80000	70.1	196.6	2948	very high noise
  95	     4	72.4	166.1	2996	inefficient
  96	     4	72.8	176.4	2950	inefficient
  97	     4	68.6	97.6	4260	inefficient
  98	     4	70.5	104.6	4235	inefficient
  99	     4	71.3	112.6	4170	inefficient
 100	     4	71.1	115.4	4064	inefficient
 101	     4	74.7	192.3	2941	inefficient
 102	     4	70.8	104.9	4228	inefficient
 103	     4	70.4	115.6	4061	inefficient
 104	     4	70.9	113.9	4155	inefficient
 105	     4	71.8	124.6	3967	inefficient
 106	     4	74.4	134.5	3658	inefficient
 107	     4	71.2	114.7	4083	inefficient
 108	     4	69.9	111.0	4129	inefficient
 109	     4	71.8	128.2	3847	inefficient
 110	     4	68.8	110.1	4157	inefficient
 111	     4	72.9	119.1	3991	inefficient
 112	     4	72.0	115.5	4055	inefficient
 113	     4	72.6	120.6	3979	inefficient
 114	     4	71.8	112.7	4119	inefficient
 115	     4	71.2	112.7	4103	inefficient
 116	     4	67.1	91.8	4306	inefficient
 117	     4	72.4	111.8	4086	inefficient
 118	     4	69.0	111.1	4131	inefficient
 119	     4	71.9	117.5	4026	inefficient
 120	     4	74.1	127.7	3890	inefficient
 121	     4	71.8	117.3	4049	inefficient
 122	     4	73.0	117.4	4049	inefficient
 123	     4	73.2	120.7	4061	inefficient
 124	     4	73.5	128.7	3921	inefficient
 125	     4	74.4	189.6	3016	inefficient
 126	     4	73.6	113.5	4291	inefficient
 127	     4	73.9	120.4	4325	inefficient
 128	     4	68.0	95.5	4357	inefficient
 129	     4	67.6	104.9	4318	inefficient
 130	     4	67.3	106.6	4323	inefficient
 131	     4	66.9	113.2	4250	inefficient
 132	     4	68.7	108.2	4273	inefficient
 133	     4	67.0	103.2	4316	inefficient
 134	     4	64.8	94.2	4387	inefficient
 135	     4	70.0	118.4	4131	inefficient
 136	     4	68.1	96.5	4366	inefficient
 137	     4	66.8	105.9	4294	inefficient
 138	     4	70.3	175.5	3010	inefficient
 139	     4	63.0	90.2	4494	inefficient
 140	     4	64.5	87.0	4446	inefficient
 141	     4	69.5	108.5	4266	inefficient
 142	     4	68.7	104.7	4308	inefficient
 143	     4	66.9	103.0	4281	inefficient
 144	     4	69.5	126.3	3947	inefficient
 145	     4	63.9	91.1	4472	inefficient
 146	     4	69.9	173.1	3084	inefficient
 147	     4	66.3	99.4	4351	inefficient
 148	     4	68.6	110.8	4203	inefficient
 149	     4	65.6	94.6	4387	inefficient
 150	     4	68.0	115.5	4178	inefficient
 151	     4	67.9	102.9	4379	inefficient
 152	     4	65.1	95.6	4515	inefficient
 153	     4	65.4	107.3	4318	inefficient
 154	     4	66.0	93.8	4376	inefficient
 155	     4	70.4	123.9	4021	inefficient
 156	     4	67.3	107.1	4256	inefficient
 157	     4	61.9	75.4	4495	inefficient
 158	     4	67.2	106.5	4333	inefficient
 159	     4	69.3	174.9	3070	inefficient
 160	     4	66.6	101.4	4307	inefficient
 161	     4	67.6	110.2	4384	inefficient
 162	     4	71.5	116.6	4169	inefficient
 163	     4	66.7	106.5	4323	inefficient
 164	     4	68.5	185.2	3105	inefficient
 165	     4	66.4	96.2	4415	inefficient
 166	     4	67.1	105.7	4324	inefficient
 167	     4	70.0	161.6	3187	inefficient
 168	     4	67.8	110.2	4307	inefficient
 169	     4	67.5	106.3	4352	inefficient
 170	     4	62.4	92.2	4499	inefficient
 171	     4	65.5	98.0	4382	inefficient
 172	     4	66.9	109.9	4304	inefficient
 173	     4	70.3	154.9	3314	inefficient
 174	     4	66.0	98.5	4437	inefficient
 175	     4	68.2	101.8	4388	inefficient
 176	     4	63.4	99.9	4436	inefficient
 177	     4	63.2	89.3	4482	inefficient
 178	     4	64.0	89.3	4495	inefficient
 179	     4	68.1	100.1	4430	inefficient
 180	     4	68.2	99.0	4481	inefficient
 181	     4	63.9	82.5	4590	inefficient
 182	     4	66.1	107.0	4423	inefficient
 183	     4	66.7	102.3	4328	inefficient
 184	     4	65.7	104.7	4394	inefficient
 185	     4	67.9	108.8	4277	inefficient
 186	     4	67.8	113.1	4272	inefficient
 187	     4	67.3	117.6	4197	inefficient
 188	     4	68.1	96.8	4403	inefficient
 189	     4	68.3	107.1	4347	inefficient
 190	     4	68.5	107.7	4334	inefficient
 191	     4	67.3	111.0	4315	inefficient
 192	     4	67.9	100.5	4406	inefficient
 193	     4	69.9	114.0	4252	inefficient
 194	     4	68.8	109.4	4314	inefficient
 195	     4	67.8	109.7	4311	inefficient
 196	     4	68.1	105.1	4422	inefficient
 197	     4	67.9	108.0	4382	inefficient
 198	     4	61.9	82.3	4507	inefficient
 199	 80000	68.5	188.7	3121	very high noise
 200	     4	64.8	89.9	4462	inefficient
 201	     4	66.2	112.2	4413	inefficient
