#chan	code	gain	vt50	innse	comment
   0	     4	68.8	74.4	4576	inefficient
   1	     4	67.2	69.4	4542	inefficient
   2	     4	70.2	73.6	4150	inefficient
   3	     4	57.2	53.8	4909	inefficient
   4	     4	62.6	59.6	4465	inefficient
   5	     4	59.3	54.5	4677	inefficient
   6	     4	59.8	59.2	4456	inefficient
   7	     4	79.6	86.2	3529	inefficient
   8	     4	67.4	66.8	4121	inefficient
   9	     4	70.0	67.4	4032	inefficient
  10	     4	66.8	69.1	4027	inefficient
  11	     4	71.7	73.0	3839	inefficient
  12	     4	64.7	63.8	4173	inefficient
  13	     4	71.2	69.5	3937	inefficient
  14	     4	65.5	63.9	4158	inefficient
  15	     4	70.1	76.1	3851	inefficient
  16	     4	77.9	87.3	3551	inefficient
  17	     4	74.8	79.9	3757	inefficient
  18	     4	69.1	73.4	3922	inefficient
  19	     4	78.4	83.2	3620	inefficient
  20	     4	60.9	60.1	4361	inefficient
  21	     4	69.1	71.7	4004	inefficient
  22	     4	61.9	62.9	4204	inefficient
  23	     4	75.5	85.6	3662	inefficient
  24	     4	65.0	64.7	4183	inefficient
  25	     4	76.0	80.6	3790	inefficient
  26	     4	69.0	70.3	4056	inefficient
  27	     4	65.0	64.4	4234	inefficient
  28	     4	72.9	79.5	3821	inefficient
  29	     4	71.8	78.3	3854	inefficient
  30	     4	70.3	74.1	3887	inefficient
  31	     4	73.0	169.5	2616	inefficient
  32	     4	73.5	77.1	3837	inefficient
  33	     4	62.3	56.3	4482	inefficient
  34	     4	65.8	66.4	4229	inefficient
  35	     4	66.0	66.6	4182	inefficient
  36	     4	70.2	72.4	3929	inefficient
  37	     4	74.5	81.7	3682	inefficient
  38	     4	75.1	80.7	3753	inefficient
  39	     4	65.0	65.6	4123	inefficient
  40	     4	65.5	63.6	4176	inefficient
  41	     4	63.8	65.6	4156	inefficient
  42	     4	68.5	69.7	4086	inefficient
  43	     4	74.5	80.0	3781	inefficient
  44	     4	69.7	67.7	4028	inefficient
  45	     4	61.9	60.4	4366	inefficient
  46	     4	66.0	65.5	4115	inefficient
  47	     4	69.0	69.6	4021	inefficient
  48	     4	64.0	63.0	4290	inefficient
  49	     4	72.1	77.6	3813	inefficient
  50	     4	67.4	69.3	4016	inefficient
  51	     4	68.5	73.3	3962	inefficient
  52	     4	72.0	74.5	3889	inefficient
  53	     4	70.4	71.9	3928	inefficient
  54	     4	71.7	76.4	3863	inefficient
  55	     4	72.4	73.5	3959	inefficient
  56	     4	73.1	167.1	2612	inefficient
  57	     4	73.4	170.7	2665	inefficient
  58	     4	71.9	78.5	3820	inefficient
