#chan	code	gain	vt50	innse	comment
   0	 80000	72.3	139.4	3784	very high noise
   1	 80000	70.4	127.7	3007	very high noise
   2	 80000	74.2	135.9	2501	very high noise
   3	 80000	73.3	132.9	2406	very high noise
   4	 80000	71.2	117.1	2412	very high noise
   5	 80000	72.7	138.3	2277	very high noise
   6	 80000	68.7	127.2	2274	very high noise
   7	 80000	71.1	138.6	2225	very high noise
   8	 80000	69.7	133.0	2246	very high noise
   9	 80000	71.2	133.1	2257	very high noise
  10	 80000	71.3	134.0	2279	very high noise
  11	 80000	72.3	132.4	2267	very high noise
  12	 80000	67.5	122.7	2293	very high noise
  13	 80000	71.1	132.9	2265	very high noise
  14	 80000	71.9	135.1	2219	very high noise
  15	 80000	73.8	136.5	2288	very high noise
  16	 80000	71.6	137.5	2246	very high noise
  17	 80000	70.6	127.6	2312	very high noise
  18	 80000	72.5	132.3	2240	very high noise
  19	 80000	70.1	125.3	2283	very high noise
  20	 80000	71.8	129.5	2265	very high noise
  21	 80000	72.4	130.7	2268	very high noise
  22	 80000	68.6	112.6	2382	very high noise
  23	 80000	73.0	133.7	2256	very high noise
  24	 80000	72.7	155.7	2262	very high noise
  25	 80000	71.3	132.4	2268	very high noise
  26	 80000	70.7	130.4	2260	very high noise
  27	 80000	70.5	127.6	2310	very high noise
  28	 80000	71.4	135.2	2269	very high noise
  29	 80000	71.3	135.7	2263	very high noise
  30	 80000	71.6	133.0	2286	very high noise
  31	 80000	71.1	135.9	2251	very high noise
  32	 80000	69.1	123.9	2335	very high noise
  33	 80000	69.4	124.8	2295	very high noise
  34	 80000	70.1	134.1	2269	very high noise
  35	 80000	71.5	130.0	2281	very high noise
  36	 80000	71.3	129.7	2298	very high noise
  37	 80000	70.1	126.8	2301	very high noise
  38	 80000	69.2	125.6	2321	very high noise
  39	 80000	70.8	130.0	2295	very high noise
  40	 80000	70.7	133.1	2280	very high noise
  41	 80000	70.0	133.6	2272	very high noise
  42	 80000	71.3	136.2	2272	very high noise
  43	 80000	71.0	130.9	2320	very high noise
  44	 80000	72.1	139.8	2298	very high noise
  45	 80000	71.1	135.1	2296	very high noise
  46	 80000	74.2	149.9	2299	very high noise
  47	 80000	71.5	135.4	2281	very high noise
  48	 80000	71.4	130.3	2304	very high noise
  49	 80000	74.3	139.5	2281	very high noise
  50	 80000	70.1	129.7	2290	very high noise
  51	 80000	71.8	124.6	2329	very high noise
  52	 80000	69.7	129.0	2289	very high noise
  53	 80000	70.4	127.9	2299	very high noise
  54	 80000	70.5	124.7	2293	very high noise
  55	 80000	71.1	133.5	2298	very high noise
  56	 80000	70.0	133.5	2263	very high noise
  57	 80000	73.7	129.9	2325	very high noise
  58	 80000	72.5	133.9	2265	very high noise
  59	 80000	72.1	135.1	2298	very high noise
  60	 80000	72.8	130.7	2321	very high noise
  61	 80000	71.6	130.0	2304	very high noise
  62	 80000	71.7	131.8	2278	very high noise
  63	 80000	74.3	143.7	2275	very high noise
  64	 80000	72.8	134.2	2288	very high noise
  65	 80000	74.0	134.6	2306	very high noise
  66	 80000	75.1	135.1	2285	very high noise
  67	 80000	73.5	138.4	2288	very high noise
  68	 80000	72.3	136.2	2260	very high noise
  69	 80000	76.3	135.7	2317	very high noise
  70	 80000	75.1	135.5	2291	very high noise
  71	 80000	74.8	139.2	2285	very high noise
  72	 80000	72.4	124.1	2328	very high noise
  73	 80000	71.9	136.8	2299	very high noise
  74	 80000	74.8	132.7	2316	very high noise
  75	 80000	73.6	145.9	2276	very high noise
  76	 80000	71.3	135.5	2289	very high noise
  77	 80000	69.8	124.9	2303	very high noise
  78	 80000	73.4	132.6	2320	very high noise
  79	 80000	72.4	132.6	2287	very high noise
  80	 80000	72.1	139.3	2292	very high noise
  81	 80000	73.4	131.9	2309	very high noise
  82	 80000	75.3	139.2	2323	very high noise
  83	 80000	71.2	134.0	2277	very high noise
  84	 80000	72.2	134.6	2282	very high noise
  85	 80000	72.5	128.3	2294	very high noise
  86	 80000	70.3	131.7	2319	very high noise
  87	 80000	71.4	135.4	2274	very high noise
  88	 80000	71.3	131.2	2304	very high noise
  89	 80000	71.8	138.8	2297	very high noise
  90	 80000	69.9	134.7	2317	very high noise
  91	 80000	70.5	130.9	2298	very high noise
  92	 80000	71.6	140.0	2302	very high noise
  93	 80000	74.6	136.2	2312	very high noise
  94	 80000	71.6	136.1	2281	very high noise
  95	 80000	73.4	140.6	2321	very high noise
  96	 80000	72.7	130.3	2325	very high noise
  97	 80000	71.2	131.8	2306	very high noise
  98	 80000	71.9	134.3	2308	very high noise
  99	 80000	73.5	136.8	2293	very high noise
 100	 80000	70.3	126.1	2362	very high noise
 101	 80000	70.5	129.4	2334	very high noise
 102	 80000	71.6	131.9	2307	very high noise
 103	 80000	71.4	136.3	2278	very high noise
 104	 80000	71.3	135.6	2285	very high noise
 105	 80000	71.6	139.2	2290	very high noise
 106	 80000	71.4	136.6	2316	very high noise
 107	 80000	71.9	135.5	2301	very high noise
 108	 80000	71.7	147.2	2258	very high noise
 109	 80000	72.2	138.2	2324	very high noise
 110	 80000	70.4	129.2	2270	very high noise
 111	 80000	72.2	164.1	2285	very high noise
 112	 80000	70.8	128.7	2309	very high noise
 113	 80000	72.1	137.6	2303	very high noise
 114	 80000	72.8	135.5	2309	very high noise
 115	 80000	72.6	134.3	2303	very high noise
 116	 80000	71.8	129.1	2330	very high noise
 117	 80000	71.8	132.1	2322	very high noise
 118	 80000	74.8	138.7	2320	very high noise
 119	 80000	68.4	126.9	2317	very high noise
 120	 80000	73.8	132.2	2345	very high noise
 121	 80000	72.8	136.2	2300	very high noise
 122	 80000	71.7	130.6	2334	very high noise
 123	 80000	76.3	140.9	2291	very high noise
 124	 80000	73.8	133.0	2326	very high noise
 125	 80000	73.0	133.2	2310	very high noise
 126	 80000	73.1	135.5	2307	very high noise
 127	 80000	72.4	136.0	2321	very high noise
 128	 80000	72.9	140.0	2485	very high noise
 129	 80000	73.0	143.1	2525	very high noise
 130	 80000	71.4	135.1	2572	very high noise
 131	 80000	71.3	137.8	2573	very high noise
 132	 80000	69.2	130.7	2572	very high noise
 133	 80000	70.4	124.6	2573	very high noise
 134	 80000	69.0	133.5	2540	very high noise
 135	 80000	68.9	134.0	2543	very high noise
 136	 80000	71.0	135.1	2548	very high noise
 137	 80000	67.1	131.9	2564	very high noise
 138	 80000	68.4	120.1	2600	very high noise
 139	 80000	67.7	130.8	2547	very high noise
 140	 80000	67.3	126.1	2606	very high noise
 141	 80000	69.2	137.0	2524	very high noise
 142	 80000	69.8	129.8	2567	very high noise
 143	 80000	69.9	122.5	2629	very high noise
 144	 80000	71.2	134.7	2542	very high noise
 145	 80000	70.2	133.3	2553	very high noise
 146	 80000	68.8	129.2	2565	very high noise
 147	 80000	69.3	135.2	2529	very high noise
 148	 80000	70.3	144.0	2517	very high noise
 149	 80000	67.9	124.3	2605	very high noise
 150	 80000	68.3	114.5	2665	very high noise
 151	 80000	71.5	140.0	2520	very high noise
 152	 80000	69.7	112.5	2667	very high noise
 153	 80000	70.4	133.1	2568	very high noise
 154	 80000	71.3	135.5	2539	very high noise
 155	 80000	71.0	133.6	2575	very high noise
 156	 80000	71.6	136.6	2517	very high noise
 157	 80000	70.5	159.5	2507	very high noise
 158	 80000	69.6	121.2	2605	very high noise
 159	 80000	69.9	131.3	2552	very high noise
 160	 80000	68.9	132.3	2553	very high noise
 161	 80000	71.6	137.6	2533	very high noise
 162	 80000	71.6	127.3	2639	very high noise
 163	 80000	70.3	149.2	2501	very high noise
 164	 80000	71.7	132.1	2557	very high noise
 165	 80000	70.2	126.9	2598	very high noise
 166	 80000	70.2	131.6	2576	very high noise
 167	 80000	69.3	133.8	2551	very high noise
 168	 80000	68.9	128.6	2553	very high noise
 169	 80000	71.1	129.5	2581	very high noise
 170	 80000	69.1	127.2	2596	very high noise
 171	 80000	70.2	132.5	2542	very high noise
 172	 80000	69.7	151.2	2559	very high noise
 173	 80000	72.2	131.8	2612	very high noise
 174	 80000	70.2	137.6	2558	very high noise
 175	 80000	72.0	128.7	2639	very high noise
 176	 80000	70.0	130.9	2553	very high noise
 177	 80000	70.1	136.8	2553	very high noise
 178	 80000	72.0	130.6	2585	very high noise
 179	 80000	72.1	132.3	2583	very high noise
 180	 80000	69.1	128.8	2587	very high noise
 181	 80000	73.3	135.3	2530	very high noise
 182	 80000	68.2	134.9	2577	very high noise
 183	 80000	71.4	137.4	2540	very high noise
 184	 80000	69.9	136.2	2523	very high noise
 185	 80000	67.8	121.9	2597	very high noise
 186	 80000	70.6	134.3	2554	very high noise
 187	 80000	71.8	130.9	2579	very high noise
 188	 80000	72.5	132.4	2583	very high noise
 189	 80000	70.3	158.7	2524	very high noise
 190	 80000	73.3	138.1	2525	very high noise
 191	 80000	71.9	137.6	2530	very high noise
 192	 80000	73.0	138.5	2532	very high noise
 193	 80000	73.2	136.8	2528	very high noise
 194	 80000	71.7	134.9	2496	very high noise
 195	 80000	71.1	132.4	2528	very high noise
 196	 80000	69.5	118.3	2658	very high noise
 197	 80000	73.0	122.9	2657	very high noise
 198	 80000	69.3	134.0	2548	very high noise
 199	 80000	73.2	133.5	2568	very high noise
 200	 80000	72.0	128.6	2571	very high noise
 201	 80000	71.8	143.0	2518	very high noise
 202	 80000	71.1	125.6	2594	very high noise
 203	 80000	73.0	133.3	2530	very high noise
 204	 80000	73.3	137.4	2526	very high noise
 205	 80000	71.6	133.2	2543	very high noise
 206	 80000	70.8	133.9	2521	very high noise
 207	 80000	70.3	134.8	2519	very high noise
 208	 80000	72.1	131.9	2564	very high noise
 209	 80000	70.8	137.0	2495	very high noise
 210	 80000	71.9	130.0	2573	very high noise
 211	 80000	72.7	135.7	2522	very high noise
 212	 80000	70.8	132.7	2535	very high noise
 213	 80000	70.6	134.6	2529	very high noise
 214	 80000	72.8	136.9	2551	very high noise
 215	 80000	71.4	135.9	2544	very high noise
 216	 80000	73.0	139.3	2497	very high noise
 217	 80000	72.8	143.5	2510	very high noise
 218	 80000	70.4	133.3	2539	very high noise
 219	 80000	71.3	133.0	2529	very high noise
 220	 80000	72.0	132.5	2565	very high noise
 221	 80000	73.3	146.6	2534	very high noise
 222	 80000	70.5	129.6	2558	very high noise
 223	 80000	71.9	131.6	2530	very high noise
 224	 80000	73.8	140.8	2482	very high noise
 225	 80000	72.1	130.6	2574	very high noise
 226	 80000	71.6	139.4	2506	very high noise
 227	 80000	72.7	137.2	2520	very high noise
 228	 80000	74.6	134.9	2562	very high noise
 229	 80000	69.7	133.3	2507	very high noise
 230	 80000	72.2	134.4	2483	very high noise
 231	 80000	72.2	135.8	2503	very high noise
 232	 80000	71.4	128.3	2570	very high noise
 233	 80000	71.3	138.4	2471	very high noise
 234	 80000	70.9	133.6	2520	very high noise
 235	 80000	73.4	143.4	2515	very high noise
 236	 80000	73.3	134.4	2540	very high noise
 237	 80000	71.9	133.2	2500	very high noise
 238	 80000	74.9	114.2	2667	very high noise
 239	 80000	72.9	134.0	2503	very high noise
 240	 80000	69.4	136.3	2539	very high noise
 241	 80000	73.1	142.3	2517	very high noise
 242	 80000	71.6	133.2	2545	very high noise
 243	 80000	72.9	128.1	2558	very high noise
 244	 80000	72.3	137.4	2487	very high noise
 245	 80000	71.3	136.5	2505	very high noise
 246	 80000	75.2	141.1	2508	very high noise
 247	 80000	76.8	138.3	2527	very high noise
 248	 80000	72.8	135.8	2494	very high noise
 249	 80000	74.8	145.7	2489	very high noise
 250	 80000	72.2	127.7	2536	very high noise
 251	 80000	74.5	140.5	2502	very high noise
 252	 80000	72.0	132.8	2507	very high noise
 253	 80000	73.3	134.3	2553	very high noise
 254	 80000	72.7	135.4	2554	very high noise
 255	 80000	74.1	140.2	2623	very high noise
 256	 80000	72.3	132.6	3225	very high noise
 257	  1000	77.5	148.7	 398	unbonded
 258	 80000	70.4	134.5	3126	very high noise
 259	 80000	70.3	126.1	2719	very high noise
 260	 80000	72.6	132.0	2590	very high noise
 261	 80000	74.0	134.1	2516	very high noise
 262	 80000	72.4	135.3	2523	very high noise
 263	 80000	73.7	133.1	2531	very high noise
 264	 80000	70.4	122.7	2633	very high noise
 265	 80000	70.2	131.2	2522	very high noise
 266	 80000	71.5	135.9	2506	very high noise
 267	 80000	72.0	130.9	2523	very high noise
 268	 80000	73.5	133.2	2499	very high noise
 269	 80000	70.1	136.1	2514	very high noise
 270	 80000	72.3	132.1	2491	very high noise
 271	 80000	70.1	131.9	2486	very high noise
 272	 80000	74.2	145.5	2470	very high noise
 273	 80000	70.7	134.2	2521	very high noise
 274	 80000	69.6	132.1	2493	very high noise
 275	 80000	71.0	128.4	2524	very high noise
 276	 80000	70.9	122.8	2562	very high noise
 277	 80000	71.8	136.8	2520	very high noise
 278	 80000	72.6	130.0	2537	very high noise
 279	 80000	72.7	144.9	2504	very high noise
 280	 80000	71.5	132.1	2527	very high noise
 281	 80000	71.6	145.7	2495	very high noise
 282	 80000	73.3	151.7	2547	very high noise
 283	 80000	73.0	131.4	2540	very high noise
 284	 80000	70.6	126.8	2559	very high noise
 285	 80000	69.5	129.9	2557	very high noise
 286	 80000	70.2	119.5	2598	very high noise
 287	 80000	70.4	128.8	2537	very high noise
 288	 80000	71.2	136.4	2517	very high noise
 289	 80000	73.4	171.2	2494	very high noise
 290	 80000	70.6	135.8	2500	very high noise
 291	 80000	73.5	165.3	2526	very high noise
 292	 80000	72.4	130.6	2559	very high noise
 293	 80000	71.6	134.8	2515	very high noise
 294	 80000	75.9	135.0	2571	very high noise
 295	 80000	70.3	142.6	2519	very high noise
 296	 80000	69.8	128.1	2575	very high noise
 297	 80000	72.3	136.3	2544	very high noise
 298	 80000	72.1	135.1	2520	very high noise
 299	 80000	70.5	129.9	2579	very high noise
 300	 80000	71.1	133.3	2549	very high noise
 301	 80000	69.0	130.5	2566	very high noise
 302	 80000	72.0	128.6	2598	very high noise
 303	 80000	70.1	127.9	2594	very high noise
 304	 80000	71.8	126.2	2606	very high noise
 305	 80000	71.8	133.8	2552	very high noise
 306	 80000	70.0	132.1	2581	very high noise
 307	 80000	70.4	131.8	2583	very high noise
 308	 80000	69.4	121.7	2606	very high noise
 309	 80000	69.2	128.8	2566	very high noise
 310	 80000	70.9	132.0	2545	very high noise
 311	 80000	71.7	127.8	2620	very high noise
 312	 80000	70.7	130.3	2578	very high noise
 313	 80000	71.4	141.9	2548	very high noise
 314	 80000	70.5	136.5	2561	very high noise
 315	 80000	72.8	132.8	2602	very high noise
 316	 80000	73.4	139.7	2510	very high noise
 317	 80000	69.6	128.6	2579	very high noise
 318	 80000	73.1	133.7	2550	very high noise
 319	 80000	74.5	141.2	2522	very high noise
 320	 80000	72.5	140.8	2578	very high noise
 321	 80000	71.1	131.3	2579	very high noise
 322	 80000	71.4	132.0	2539	very high noise
 323	 80000	71.5	135.3	2514	very high noise
 324	 80000	70.2	126.3	2606	very high noise
 325	 80000	71.8	157.7	2544	very high noise
 326	 80000	72.0	136.0	2606	very high noise
 327	 80000	70.2	132.6	2542	very high noise
 328	 80000	70.3	129.6	2601	very high noise
 329	 80000	69.6	137.5	2542	very high noise
 330	 80000	70.6	137.0	2543	very high noise
 331	 80000	70.3	136.7	2553	very high noise
 332	 80000	72.2	127.7	2615	very high noise
 333	 80000	72.9	132.7	2575	very high noise
 334	 80000	68.7	128.8	2575	very high noise
 335	 80000	71.5	132.7	2559	very high noise
 336	 80000	70.2	137.6	2514	very high noise
 337	 80000	69.8	125.6	2580	very high noise
 338	 80000	70.1	133.1	2558	very high noise
 339	 80000	70.6	135.1	2522	very high noise
 340	 80000	70.8	138.3	2530	very high noise
 341	 80000	69.6	134.5	2560	very high noise
 342	 80000	71.4	135.5	2546	very high noise
 343	 80000	70.4	132.9	2563	very high noise
 344	 80000	69.9	129.6	2594	very high noise
 345	 80000	69.3	124.5	2620	very high noise
 346	 80000	68.2	129.2	2585	very high noise
 347	 80000	70.5	139.6	2550	very high noise
 348	 80000	69.0	125.0	2623	very high noise
 349	 80000	69.6	132.8	2513	very high noise
 350	 80000	70.5	150.4	2556	very high noise
 351	 80000	71.6	135.9	2578	very high noise
 352	 80000	72.5	132.5	2601	very high noise
 353	 80000	70.3	127.9	2606	very high noise
 354	 80000	69.5	127.6	2612	very high noise
 355	 80000	70.1	131.1	2591	very high noise
 356	 80000	69.0	127.4	2586	very high noise
 357	 80000	70.0	128.8	2583	very high noise
 358	 80000	72.2	133.0	2612	very high noise
 359	 80000	70.0	127.3	2601	very high noise
 360	 80000	68.2	127.5	2575	very high noise
 361	 80000	68.2	124.4	2620	very high noise
 362	 80000	69.1	132.6	2576	very high noise
 363	 80000	67.8	132.9	2543	very high noise
 364	 80000	68.8	131.2	2582	very high noise
 365	 80000	69.0	131.7	2583	very high noise
 366	 80000	69.0	131.2	2548	very high noise
 367	 80000	69.6	133.1	2572	very high noise
 368	 80000	69.5	125.0	2651	very high noise
 369	 80000	69.4	134.7	2567	very high noise
 370	 80000	70.5	128.6	2608	very high noise
 371	 80000	70.5	129.6	2607	very high noise
 372	 80000	70.6	131.5	2550	very high noise
 373	 80000	68.9	125.3	2640	very high noise
 374	 80000	69.8	132.2	2579	very high noise
 375	 80000	69.5	132.9	2596	very high noise
 376	 80000	68.6	125.9	2614	very high noise
 377	 80000	69.6	134.7	2554	very high noise
 378	 80000	68.8	120.2	2654	very high noise
 379	 80000	69.5	126.2	2616	very high noise
 380	 80000	69.7	134.3	2585	very high noise
 381	 80000	70.9	135.0	2604	very high noise
 382	 80000	71.0	134.8	2568	very high noise
 383	 80000	71.4	131.2	2634	very high noise
 384	 80000	72.0	140.1	2475	very high noise
 385	 80000	73.2	139.6	2473	very high noise
 386	 80000	70.4	126.6	2569	very high noise
 387	 80000	69.8	129.9	2591	very high noise
 388	 80000	69.8	130.9	2513	very high noise
 389	 80000	70.0	129.8	2524	very high noise
 390	 80000	69.8	131.7	2527	very high noise
 391	 80000	69.2	125.7	2562	very high noise
 392	 80000	69.0	124.3	2587	very high noise
 393	 80000	70.4	131.7	2508	very high noise
 394	 80000	69.7	130.2	2540	very high noise
 395	 80000	68.4	131.4	2511	very high noise
 396	 80000	70.3	130.2	2541	very high noise
 397	 80000	69.2	133.1	2519	very high noise
 398	 80000	70.4	134.3	2531	very high noise
 399	 80000	69.5	135.0	2538	very high noise
