#chan	code	gain	vt50	innse	comment
   0	     4	55.1	65.6	5332	inefficient
   1	     4	74.0	126.7	3763	inefficient
   2	     4	61.8	81.7	4835	inefficient
   3	     4	71.8	149.6	3288	inefficient
   4	     4	54.9	71.0	5093	inefficient
   5	     4	59.5	80.7	4767	inefficient
   6	     4	54.4	76.1	5009	inefficient
   7	     4	56.1	73.2	5109	inefficient
   8	     4	61.9	86.8	4706	inefficient
   9	     4	55.1	67.7	5218	inefficient
  10	     4	64.6	95.6	4346	inefficient
  11	     4	50.0	57.3	5559	inefficient
  12	     4	58.8	79.8	4796	inefficient
  13	     4	73.4	111.3	3982	inefficient
  14	     4	54.1	66.6	5194	inefficient
  15	     4	59.8	77.3	4877	inefficient
  16	     4	61.6	82.6	4832	inefficient
  17	     4	61.8	85.0	4715	inefficient
  18	     4	57.6	74.8	4957	inefficient
  19	     4	70.9	159.6	3097	inefficient
  20	     4	60.5	80.9	4851	inefficient
  21	     4	51.3	61.7	5397	inefficient
  22	     4	59.7	80.0	4787	inefficient
  23	     4	58.5	78.8	4836	inefficient
  24	     4	56.9	77.2	4934	inefficient
  25	     4	63.4	79.1	4704	inefficient
  26	     4	60.3	81.9	4814	inefficient
  27	     4	50.6	59.7	5517	inefficient
  28	     4	56.6	72.3	4969	inefficient
  29	     4	59.0	79.1	4786	inefficient
  30	     4	69.0	165.5	3122	inefficient
  31	     4	58.1	72.9	4985	inefficient
  32	     4	50.7	62.5	5337	inefficient
  33	     4	62.3	81.0	4755	inefficient
  34	     4	58.5	76.3	4904	inefficient
  35	     4	57.6	78.3	4903	inefficient
  36	     4	63.8	85.9	4617	inefficient
  37	     4	60.7	81.6	4753	inefficient
  38	     4	62.7	89.3	4607	inefficient
  39	     4	71.9	156.0	3095	inefficient
  40	     4	75.7	127.5	3637	inefficient
  41	     4	60.1	78.1	4823	inefficient
  42	     4	69.6	165.4	3206	inefficient
  43	     4	59.3	75.1	4862	inefficient
  44	     4	50.9	63.0	5322	inefficient
  45	     4	57.4	77.6	4858	inefficient
  46	     4	56.2	69.8	5056	inefficient
  47	     4	72.9	109.4	3947	inefficient
  48	     4	53.9	69.4	5187	inefficient
  49	     4	58.6	77.0	4940	inefficient
  50	     4	55.6	75.9	5051	inefficient
  51	     4	76.4	143.6	3296	inefficient
  52	     4	57.8	75.4	4998	inefficient
  53	     4	59.2	76.2	4908	inefficient
  54	     4	52.0	67.3	5312	inefficient
  55	     4	64.7	82.8	4712	inefficient
  56	     4	57.1	72.8	4987	inefficient
  57	     4	75.3	140.0	3439	inefficient
  58	     4	59.0	79.8	4862	inefficient
  59	     4	56.9	70.8	5085	inefficient
  60	     4	63.9	85.5	4615	inefficient
  61	     4	58.5	81.3	4720	inefficient
  62	     4	61.2	80.5	4771	inefficient
  63	     4	57.0	72.5	4969	inefficient
  64	     4	62.2	85.0	4579	inefficient
  65	     4	58.9	75.9	4901	inefficient
  66	     4	58.8	73.8	4845	inefficient
  67	     4	55.3	74.6	4941	inefficient
  68	     4	61.3	82.3	4665	inefficient
  69	     4	62.8	84.5	4604	inefficient
  70	     4	56.2	76.2	4863	inefficient
  71	     4	57.5	73.5	4929	inefficient
  72	     4	62.5	85.3	4582	inefficient
  73	     4	61.9	82.5	4686	inefficient
  74	     4	70.3	110.0	3925	inefficient
  75	     4	51.1	61.4	5263	inefficient
  76	     4	59.4	77.2	4759	inefficient
  77	     4	63.4	82.6	4625	inefficient
  78	     4	73.0	112.6	3851	inefficient
  79	     4	51.4	64.0	5219	inefficient
  80	     4	57.9	76.3	4837	inefficient
  81	     4	66.1	84.8	4560	inefficient
  82	     4	53.2	62.7	5126	inefficient
  83	     4	71.3	154.3	3012	inefficient
  84	     4	60.6	77.9	4742	inefficient
  85	     4	67.3	175.2	3135	inefficient
  86	     4	50.6	63.2	5291	inefficient
  87	     4	56.7	76.1	4859	inefficient
  88	     4	53.4	61.5	5231	inefficient
  89	     4	64.0	86.4	4548	inefficient
  90	     4	51.9	59.0	5260	inefficient
  91	     4	58.9	74.1	4832	inefficient
  92	     4	71.8	107.5	3968	inefficient
  93	     4	61.1	80.5	4660	inefficient
  94	     4	68.6	163.1	3017	inefficient
  95	     4	73.9	125.8	3599	inefficient
  96	     4	74.3	138.3	3348	inefficient
  97	     4	53.8	66.2	5058	inefficient
  98	     4	57.0	71.0	4940	inefficient
  99	     4	59.0	77.4	4834	inefficient
 100	     4	60.5	80.0	4611	inefficient
 101	     4	75.4	155.3	3117	inefficient
 102	     4	57.3	71.2	4859	inefficient
 103	     4	59.7	80.5	4685	inefficient
 104	     4	59.3	78.7	4748	inefficient
 105	     4	63.5	86.9	4482	inefficient
 106	     4	68.7	93.7	4233	inefficient
 107	     4	59.8	79.7	4745	inefficient
 108	     4	57.8	76.7	4806	inefficient
 109	     4	64.9	89.2	4382	inefficient
 110	     4	55.8	76.2	4851	inefficient
 111	     4	62.7	81.7	4555	inefficient
 112	     4	60.5	79.4	4624	inefficient
 113	     4	62.4	83.2	4552	inefficient
 114	     4	59.4	77.3	4702	inefficient
 115	     4	59.6	77.4	4656	inefficient
 116	     4	51.5	62.3	5179	inefficient
 117	     4	60.7	76.0	4655	inefficient
 118	     4	57.5	77.7	4719	inefficient
 119	     4	61.3	81.5	4665	inefficient
 120	     4	66.4	87.9	4359	inefficient
 121	     4	61.1	80.8	4687	inefficient
 122	     4	62.4	80.0	4614	inefficient
 123	     4	63.4	82.8	4610	inefficient
 124	     4	66.3	89.2	4431	inefficient
 125	     4	76.2	153.2	3114	inefficient
 126	     4	60.9	76.9	5082	inefficient
 127	     4	62.8	82.5	5038	inefficient
 128	     4	52.0	64.8	5351	inefficient
 129	     4	53.4	73.0	5083	inefficient
 130	     4	53.2	74.5	5110	inefficient
 131	     4	55.7	80.7	4918	inefficient
 132	     4	55.5	75.0	5025	inefficient
 133	     4	52.6	72.3	5145	inefficient
 134	     4	49.8	65.3	5297	inefficient
 135	     4	58.9	82.3	4754	inefficient
